"","name","state","county","acres","start_date","containment_date","notes","percent_forest_cover","population_2020","county_size_acres","forest_cover_acres"
"429","Berry","Idaho","Elmore","14412","September 2","September 6","Lightning-caused.",10.22,28964,1984934.4,202860.29568
"430","Berry","Idaho","Gooding","14412","September 2","September 6","Lightning-caused.",3.91,15754,469849.6,18371.11936
"431","Jones","Oregon","Malheur","7162","September 2","September 11","",1.77,31787,6355072,112484.7744
"432","Rail Ridge","Oregon","Crook","176661","September 2","November 1","",12.85,26316,1911705.6,245654.1696
"433","Rail Ridge","Oregon","Grant","176661","September 2","November 1","",28.93,7186,2898252.8,838464.53504
"434","Solomon","Oregon","Harney","2600","September 2","September 8","",4.84,7526,6545734.4,316813.54496
"435","Sagehen","Oregon","Harney","5953","September 2","October","",4.84,7526,6545734.4,316813.54496
"436","Boone","California","Fresno","17600","September 3","September 13","Prompted evacuations in Fresno and Monterey Counties.",11.27,1029488,3847123.2,433570.78464
"437","Boone","California","Monterey","17600","September 3","September 13","Prompted evacuations in Fresno and Monterey Counties.",15.77,440572,2120531.2,334407.77024
"438","Chimineas","California","San Luis Obispo","1200","September 4","September 10","",9.94,284571,2124473.6,211172.67584
"439","Commissary","Idaho","Bonneville","6885","September 4","November 7","Lightning-caused.",20.46,131321,1216185.6,248831.57376
"440","Devils Knob","Oregon","Douglas","4149","September 5","October 17","",61.2,112445,3239430.4,1982531.4048
"441","Line","California","San Bernardino","43978","September 5","December 23","Prompted evacuation orders in parts of Highland and the entire community of Running Springs. Destroyed one structure and injured six firefighters. Started by arson.",1.73,2216051,12867456,222606.9888
"442","South Selway Complex","Idaho","Idaho","1928","September 6","October 24","Lightning-caused. Consisted of the Lonesome, Goat Creek, Doe, and Twin Butte 2 fires.",41.82,17307,5442284.8,2275963.50336
"443","Bowman Well","Oregon","Lake","2853","September 6","October 14","Lightning caused.",8.56,8214,5349190.4,457890.69824
"444","Firestone","Oregon","Lake","9462","September 6","October 5","Lightning caused.",8.56,8214,5349190.4,457890.69824
"445","Firestone","Oregon","Deschutes","9462","September 6","October 5","Lightning caused.",22.45,211844,1954675.2,438824.5824
"446","Service","Oregon","Wheeler","23890","September 6","September 25","Part of Fossil Complex.",15.81,1483,1098560,173682.336
"447","Flat Top","Oregon","Lake","36362","September 6","October 5","Likely lightning-caused.",8.56,8214,5349190.4,457890.69824
"448","Young Grasshopper","Oregon","Lane","5313","September 6","November 9","Likely lightning-caused.",63.9,388866,2954976,1888229.664
"449","Davis","Nevada","Washoe","5824","September 7","September 25","14 structures impacted. Evacuations forced in New Washoe City and Southwest Reno.",6.13,507376,4186156.8,256611.41184
"450","Buck Creek","Oregon","Lake","5758","September 7","October 8","Likely lightning-caused.",8.56,8214,5349190.4,457890.69824
"451","Linton Creek","Oregon","Lane","1310","September 7","November 3","Likely lightning-caused.",63.9,388866,2954976,1888229.664
"452","Frog","Idaho","Custer","3020","September 7","October 9","Lightning-caused.",15.83,4453,3160704,500339.4432
"453","Roblar","California","San Diego","1000","September 7","September 11","Burned in Camp Pendleton.",10.79,3325723,2711238.4,292542.62336
"454","Table","Idaho","Owyhee","17497","September 8","September 10","Lightning-caused.",3.44,12613,4925971.2,169453.40928
"455","Little Lava","Oregon","Deschutes","15514","September 8","November 15","Likely lightning-caused.",22.45,211844,1954675.2,438824.5824
"456","Bridge","California","Los Angeles","56030","September 8","November 26","Burned in the Angeles National Forest. Prompted evacuation orders for Wrightwood and Mount Baldy Village. Destroyed 81 structures and injured eight firefighters. Cause under investigation.",9.64,9965925,2614444.8,252032.47872
"457","Bridge","California","San Bernardino","56030","September 8","November 26","Burned in the Angeles National Forest. Prompted evacuation orders for Wrightwood and Mount Baldy Village. Destroyed 81 structures and injured eight firefighters. Cause under investigation.",1.73,2216051,12867456,222606.9888
"458","Logan","Idaho","Valley","15672","September 9","November 12","",27.76,12544,2389440,663308.544
"459","Airport","California","Orange","23526","September 9","October 5","Began in Trabuco Canyon. Evacuations were along Ortega Highway and in surrounding areas. Destroyed 160 structures. Two civilians and 20 firefighters were injured. Started by equipment use.",12.95,3213661,509497.6,65979.9392
"460","Airport","California","Riverside","23526","September 9","October 5","Began in Trabuco Canyon. Evacuations were along Ortega Highway and in surrounding areas. Destroyed 160 structures. Two civilians and 20 firefighters were injured. Started by equipment use.",3.63,2483025,4673932.8,169663.76064
"461","West Warm Springs","Wyoming","Hot Springs","1610","September 9","September 13","",6.83,4545,1284096,87703.7568
"462","Siphon","Arizona","Pinal","15527","September 10","September 27","",4.24,455657,3439795.2,145847.31648
"463","Point","Arizona","Maricopa","5154","September 10","September 29","",2.72,4613696,5904640,160606.208
"464","Short Draw","Wyoming","Campbell","34557","September 11","September 20","",2.41,46568,3076044.8,74132.67968
"465","Garden","Idaho","Lemhi","13036","September 11","October 26","Lightning-caused.",21.08,8118,2924249.6,616431.81568
"466","Salt Creek","Wyoming","Natrona","1520","September 11","September 11","",3.5,80066,3440422.4,120414.784
"467","Power Dam Road","South Dakota","Mellette","15320","September 12","October 11","[327]",3.11,1877,838956.8,26091.55648
"468","Bear Creek","Wyoming","Albany","1444","September 12","September 20","",6.99,37325,2757600,192756.24
"469","La Bonte","Wyoming","Converse","3506","September 12","September 25","",4.02,13676,2729638.4,109731.46368
"470","Nugget","Idaho","Idaho","1001","September 13","October 30","Lightning-caused.",41.82,17307,5442284.8,2275963.50336
"471","Homestead","Montana","Sheridan","1000","September 14","September 25","",1.68,3522,1091801.6,18342.26688
"472","Prairie","Utah","Grand","1921","September 16","September 18","",7.81,9875,2358201.6,184175.54496
"473","Livingston Draw","Wyoming","Johnson","1400","September 17","September 23","",8.62,8490,2671744,230304.3328
"474","Bronco","Nebraska","Sioux","1069","September 18","November 12","[335]",2.17,1109,1323116.8,28711.63456
"475","Brigade","Arizona","Coconino","1812","September 21","October 9","",9.39,148808,11943289.6,1121474.89344
"476","Goosmus","Washington","Ferry","1738","September 25","October 4","",42.46,7174,1444742.4,613437.62304
"477","Long Hollow","Washington","Whitman","4000","September 26","September 27","",5.86,47521,1393849.6,81679.58656
"478","Elk","Wyoming","Sheridan","98352","September 27","November 14","One firefighter injured.",13.73,31814,1616921.6,222003.33568
"479","Pack Trail","Wyoming","Teton","89930","September 27","November 7","Merged with the Fish Creek Fire on October 5.",32.5,23484,2699046.4,877190.08
"480","Pack Trail","Wyoming","Fremont","89930","September 27","November 7","Merged with the Fish Creek Fire on October 5.",7.87,38895,5930073.6,466696.79232
"481","Yellow Lake","Utah","Wasatch","33041","September 28","November 5","",25.24,39703,772800,195054.72
"482","Wildhorse 5","Colorado","Weld","1204","September 29","October 2","",1.87,357495,2570720,48072.464
"483","Rosie","Idaho","Owyhee","5628","September 30","October 17","Caused by human activity.",3.44,12613,4925971.2,169453.40928
"484","Valley","Idaho","Ada","9904","October 4","October 23","",3.36,535561,678764.8,22806.49728
"485","Martin","Idaho","Blaine","1100","October 4","October 5","",11.45,25354,1699187.2,194556.9344
"486","Elkhorn","North Dakota","McKenzie","28434","October 5","October 9","[346]",5.74,14981,1830764.8,105085.89952
"487","Bear Den","North Dakota","McKenzie","15661","October 5","November 20","[347]",5.74,14981,1830764.8,105085.89952
"488","Castle Ridge","Nevada","Elko","25885","October 6","October 19","",9.12,54953,11009484.8,1004065.01376
"489","Pine","Oregon","Deschutes","6634","October 7","October 24","",22.45,211844,1954675.2,438824.5824
"490","Meridian","Montana","Madison","3900","October 8","2024","",1.1,8729,2306265.6,25368.9216
"491","Flood","Arizona","Pinal","4400","October 9","October 16","",4.24,455657,3439795.2,145847.31648
"492","Shoe","California","Shasta","5124","October 9","November 8","Burned in Shasta-Trinity National Forest. Injured one firefighter. Human-caused.",36.48,182744,2462336,898260.1728
"493","Blue Star","Oklahoma","McIntosh","1318","October 9","October 12","",25.5,18805,455718.4,116208.192
"494","Vein","Arizona","Pima","1291","October 12","October 14","",5.81,1066578,5882022.4,341745.50144
"495","Vein","Arizona","Santa Cruz","1291","October 12","October 14","",13.73,48407,791948.8,108734.57024
"496","Gabilan","California","Monterey","1200","October 22","October 23","Burned in Fort Hunter Liggett.",15.77,440572,2120531.2,334407.77024
"497","Diamond","Wyoming","Platte","2168","October 22","October 23","",2.82,8571,1350937.6,38096.44032
"498","Rush","Oklahoma","Comanche","12488","October 24","November 8","[356]",8.51,121170,693670.4,59031.35104
"499","Euchee Creek","Oklahoma","Payne","1279","October 29","November 4","",22.07,82284,446240,98485.168
"500","Cimarron Bend","Oklahoma","Logan","2112","October 29","November 1","",16.94,51956,479251.2,81185.15328
"501","Unknown","Oklahoma","Lincoln","1130","October 29","October 30","",27.19,33300,618099.2,168061.17248
"502","North Road","Oklahoma","Osage","3584","October 29","November 5","",22.57,45343,1474579.2,332812.52544
"503","Indian Creek","Oklahoma","Dewey","1575","October 29","November 1","",8.43,4381,645363.2,54404.11776
"504","Horseshoe","California","Inyo","4537","October 30","December 12","Began in Inyo National Forest. Was declared contained on November 14 before reigniting under strong winds late November 22. Destroyed two homes and six outbuildings.",2.15,18918,6545344,140724.896
"505","Mountain","California","Ventura","19904","November 6","November 27","Destroyed 243 structures and damaged 127 near Camarillo. Injured five civilians and one firefighter.",13.29,844853,1186912,157740.6048
"506","Butternut","Massachusetts","Berkshire","1676","November 18","December 2","[367]",74.33,128721,605728,450237.6224
"507","Big Levels","Virginia","Augusta","1284","December 2","January 5 (2025)","[368]",56.22,78373,621286.4,349287.21408
"508","Franklin","California","Los Angeles","4037","December 9","December 18","Destroyed 20 structures and damaged 28 in Malibu.",9.64,9965925,2614444.8,252032.47872
"509","Horton","Arizona","Gila","8346","December 15","February 4, 2025","",15.77,53901,3068684.8,483931.59296
"510","Horton","Arizona","Coconino","8346","December 15","February 4, 2025","",9.39,148808,11943289.6,1121474.89344
